"Farm_ID","X2a.Total.Cattle.2010","X2b.Total.Sheep.2010","X2c.Total.Goats.2010","X4a.Cows.Abort.2010","X4a.Ewes.Abort.2010","X4a.Does.Abort.2010","X4b.AdultCattle.Die.2010","X4b.Calves.Die.2010","X4b.AdultSheep.Die.2010","X4b.Lambs.Die.2010","X4b.AdultGoats.Die.2010","X4b.GoatKids.Die.2010","X5.RVF.Vax.before.Outbreak.2010","X6.RVF.Vax.During.Outbreak.2010","X3.Outbreak","Max.Dist.Purch.Ave","f9.Prct.Access.to.Pan.Ave","f9.Pan.Num.Ave","Num_Natural_WaterSources.Ave","f14.Size.Farm.15","f2.Communal.or.Private.15","f18.Production.15","District","CumSum.2m.Rain","Prct.Rain.Days.2m","Ave.2m.CumSum","CumSum.2m.Rain_Oct","Prct.Rain.Days.2m_Oct","TotalPopDomR_2010","TotalRVFDeathsDomR.2010","TotalRVFAbortionsDomR.2010","PrctRVFAbort.2010","PrctRVFDeath.2010","PrctCattle_Ave.2010","PrctGoats_Ave.2010","X2a.Total.Cattle.2010.Stand","X2b.Total.Sheep.2010.Stand","X2c.Total.Goats.2010.Stand","Sum.Ruminants.Gained.Ave.Stand","Max.Dist.Purch.Ave.Stand","f14.Size.Farm.15.Stand","f9.Pan.Num.Ave.Stand","Num_Natural_WaterSources.Ave.Stand","CumSum.2m.Rain.Stand","TotalPopDomR_2010.Stand","TotalRVFDeathsDomR.2010.Stand","TotalRVFAbortionsDomR.2010.Stand","Prct.Rain.Days.2m.Stand","PrctSheep_Ave.2010","PrctGoats_Ave.2010.Stand","CumSum.2m.Rain_Oct.Stand","Prct.Rain.Days.2m_Oct.Stand","Sheep.Present.2010","Cattle.Present.2010","Goats.Present.2010"
"317p",150,3000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,6,13.5,10000,"P","Commercial","Philippolis",233.23856,0.4,272.933161111111,137.72937,0.416666666666667,3150,0,0,0,0,0.0476190476190476,0,-0.0721590374015357,2.23794351642285,-0.24450260126359,-0.158907765236155,-0.136464600747222,2.30512795654523,3.25491951339963,0.516392792334021,-1.60985724225079,2.13780514636667,-0.39658199172072,-0.313737180885401,-2.12184408998086,0.952380952380952,-0.302113189811343,-1.70191726818814,-2.25216605764497,1,1,0
"319t",0,900,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,12000,"P","Commercial","Trompsburg",270.09989,0.433333333333333,315.015803,178.17318,0.45,900,0,0,0,0,0,0,-0.490203026209918,0.282716513952447,-0.24450260126359,-0.158907765236155,-0.136464600747222,2.92855194274174,-0.575962463956698,0.859023081086453,-0.531323370278244,0.105871280112812,-0.39658199172072,-0.313737180885401,-1.41944052915962,1,-0.302113189811343,-0.641486163028087,-1.30885043140624,1,0,0
"320f",300,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0.5,8.5,3500,"P","Commercial","Fauresmith",263.08099,0.466666666666667,295.377329333333,196.043873,0.516666666666667,400,0,0,0,0,0.75,0,0.345884951406846,-0.462131867941041,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.279000001406548,-0.256722299177004,0.0269209512591196,-0.736690930102812,-0.345669579054712,-0.39658199172072,-0.313737180885401,-0.717036968338353,0.25,-0.302113189811343,-0.172919063935149,0.577780821071235,1,1,0
"321h",30,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,2.5,10,6000,"P","Commercial","Hopetown",224.618084,0.416666666666667,230.919493444444,128.9836,0.366666666666667,580,0,0,0,0,0.0517241379310345,0,-0.406594228448241,-0.0431546531259539,-0.24450260126359,-0.158907765236155,-0.136464600747222,1.05827998415219,1.02023835994177,0.17376250358159,-1.86208567129897,-0.183114869754403,-0.39658199172072,-0.313737180885401,-1.77064230957023,0.948275862068966,-0.302113189811343,-1.93123014812145,-3.66713949700307,1,1,0
"322b",12,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"C","Small holder","Barkley West",262.029231,0.566666666666667,245.279439444444,168.157098,0.516666666666667,37,0,0,0,0,0.324324324324324,0.675675675675676,-0.456759507105247,-0.555237915677727,0.336263672521659,-0.158907765236155,-0.136464600747222,-0.811991974437356,-0.575962463956698,-0.707286810353233,-0.767464581152624,-0.673488242810335,-0.39658199172072,-0.313737180885401,1.3901737141254,0,3.75310581911338,-0.904106447927895,0.577780821071235,0,1,1
"324ba",200,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3600,"P","Commercial","Barkley West",250.29284,0.55,248.476420555556,167.359936,0.516666666666667,300,0,0,0,0,0.666666666666667,0,0.0671889588679249,-0.462131867941041,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.310171200716374,-0.575962463956698,-0.413603705708292,-1.11086226181726,-0.435977750888217,-0.39658199172072,-0.313737180885401,1.03897193371477,0.333333333333333,-0.302113189811343,-0.925007925327072,0.577780821071235,1,1,0
"325b",70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.5,0.5,3.5,840,"P","Commercial","Boshof",359.752521,0.566666666666667,289.539377,219.836799,0.533333333333333,70,0,0,0,0,1,0,-0.295115831432673,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.550153900234819,-0.256722299177004,-0.462550889815782,2.09184294642699,-0.643686546105278,-0.39658199172072,-0.313737180885401,1.3901737141254,0,-0.302113189811343,0.450928165422603,1.04943863419058,0,1,0
"337b",0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,8.56,"P","Commercial","Bloemfontein",295.53896,0.516666666666667,269.252277444444,240.072607,0.516666666666667,50,0,0,0,0,0,0,-0.490203026209918,-0.508684891809384,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.809323719776435,-0.575962463956698,-0.756233994460723,0.213004049987944,-0.661748180471979,-0.39658199172072,-0.313737180885401,0.336568372893524,1,-0.302113189811343,0.98150825273996,0.577780821071235,1,0,0
"p001b",30,600,0,0,450,0,0,0,0,30,0,0,0,1,1,0,100,1,6.5,759,"P","Commercial","Brandfort",321.3055,0.55,258.879686222222,264.52276,0.533333333333333,630,30,450,0.714285714285714,0.0476190476190476,0.0476190476190476,0,-0.406594228448241,0.00339837074238901,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.575402571675778,0.0625178656026901,-0.168867785170841,0.966912987987076,-0.137960783837651,0.466073700239759,5.7716822759435,1.03897193371477,0.952380952380952,-0.302113189811343,1.62258788314873,1.04943863419058,1,1,0
"p002b",70,300,0,0,100,0,0,6,0,10,0,0,1,1,1,0,51.5,4,4,590,"P","Semi-Commercial","Bultfontein",319.89613,0.533333333333333,267.629388777778,270.946413,0.533333333333333,370,16,100,0.27027027027027,0.0432432432432432,0.189189189189189,0,-0.295115831432673,-0.275919772467669,-0.24450260126359,0.210645177173508,-0.136464600747222,-0.628081898509384,1.97795885428086,-0.413603705708292,0.925675916965984,-0.372762030604764,0.0635010439915353,1.03857825396547,0.687770153304134,0.810810810810811,-0.302113189811343,1.79101517647136,1.04943863419058,1,1,0
"p003b",195,1000,0,8,100,0,2,0,100,50,0,0,0,0,1,0,0,0,3.5,2200,"P","Commercial","Bultfontein",333.448382,0.55,280.643575666667,270.138433,0.533333333333333,1195,152,108,0.0903765690376569,0.127196652719665,0.163179916317992,0,0.0532541592409788,0.375822561689133,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.126225589621188,-0.575962463956698,-0.462550889815782,1.32220427943982,0.372280387021652,3.97420684754571,1.14676348875353,1.03897193371477,0.836820083682008,-0.302113189811343,1.76983005260822,1.04943863419058,1,1,0
"p004b",2500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,1,3,598,"P","Commercial","Bultfontein",330.315733,0.533333333333333,286.663850222222,266.58,0.516666666666667,2500,0,0,0,0,1,0,6.47719678726311,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.625588202564598,0.0625178656026901,-0.511498073923272,1.23054540398685,1.55080202944889,-0.39658199172072,-0.313737180885401,0.687770153304134,0,-0.302113189811343,1.67652843144968,0.577780821071235,0,1,0
"p007l",500,6000,0,0,0,0,0,0,30,20,0,0,0,1,1,0,0,0,0,4000,"P","Commercial","Lukhof",270.29494,0.466666666666667,259.372292111111,147.638164,0.45,6500,50,0,0,0.00769230769230769,0.0769230769230769,0,0.903276936484689,5.03112494852343,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.434855997955677,-0.575962463956698,-0.805181178568213,-0.525616358845715,5.16312890278909,1.04117749488008,-0.313737180885401,-0.717036968338353,0.923076923076923,-0.302113189811343,-1.4421100598113,-1.30885043140624,1,1,0
"p011p",30,40,0,2,6,0,0,0,0,0,0,0,0,0,1,0,90,1,2.5,130,"P","Commercial","Petrusburg",267.953407,0.483333333333333,262.299201777778,181.245892,0.466666666666667,70,0,8,0.114285714285714,0,0.428571428571429,0,-0.406594228448241,-0.517995496583052,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.771469415334583,0.0625178656026901,-0.560445258030763,-0.594127794891063,-0.643686546105278,-0.39658199172072,-0.205551946097332,-0.365835187927742,0.571428571428571,-0.302113189811343,-0.560920079318403,-0.837192618286868,1,1,0
"331f",40,1100,0,0,250,0,0,0,0,0,0,0,1,0,1,0,0,0,9.5,3056,"P","Commercial","Fauresmith",259.72432,0.45,292.520946111111,191.391597,0.533333333333333,1140,0,250,0.219298245614035,0,0.0350877192982456,0,-0.378724629194349,0.468928609425819,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.140599876470921,-0.575962463956698,0.1248153194741,-0.834904485935824,0.322610892513224,-0.39658199172072,3.06705140624177,-1.06823874874899,0.964912280701754,-0.302113189811343,-0.29490109728437,1.04943863419058,1,1,0
"p013b",0,400,0,0,200,0,0,0,50,20,0,0,0,1,1,0,2.5,1,3,410,"P","Semi-Commercial","Brandfort",321.3055,0.55,258.879686222222,264.52276,0.533333333333333,400,70,200,0.5,0.175,0,0,-0.490203026209918,-0.182813724730983,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.68419005726707,0.0625178656026901,-0.511498073923272,0.966912987987076,-0.345669579054712,1.6162812895204,2.39089368881633,1.03897193371477,1,-0.302113189811343,1.62258788314873,1.04943863419058,1,0,0
"149b",500,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,9000,"P","Commercial","Bloemfontein",350.4515,0.533333333333333,275.009908777778,236.580176,0.516666666666667,500,0,20,0.04,0,1,0,0.903276936484689,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,1.99341596344697,-0.575962463956698,0.565339976441512,1.8197022995098,-0.255361407221207,-0.39658199172072,-0.0432740939152277,0.687770153304134,0,-0.302113189811343,0.889937194893896,0.577780821071235,0,1,0
